iter	Passed	Remaining
0	2	2043
1	4	2064
2	6	2097
3	8	2178
4	10	2074
5	12	2060
6	14	2087
7	16	2069
8	18	2054
9	20	2041
10	22	2038
11	24	2056
12	27	2073
13	28	2012
14	30	1999
15	32	1969
16	33	1965
17	36	1969
18	37	1927
19	38	1888
20	40	1891
21	42	1902
22	44	1901
23	46	1902
24	48	1903
25	50	1906
26	53	1910
27	55	1919
28	57	1923
29	59	1924
30	61	1922
31	63	1918
32	65	1915
33	67	1916
34	69	1916
35	72	1930
36	74	1931
37	76	1931
38	78	1931
39	80	1929
40	82	1939
41	85	1940
42	87	1941
43	89	1943
44	91	1944
45	93	1940
46	95	1936
47	97	1933
48	99	1925
49	101	1921
50	102	1913
51	105	1915
52	107	1916
53	109	1910
54	110	1906
55	113	1905
56	114	1902
57	116	1899
58	118	1897
59	121	1899
60	123	1899
61	125	1895
62	127	1893
63	129	1890
64	131	1887
65	133	1884
66	135	1882
67	136	1871
68	138	1872
69	140	1869
70	143	1872
71	145	1869
72	147	1870
73	149	1867
74	151	1864
75	153	1863
76	155	1863
77	157	1864
78	159	1862
79	160	1851
80	162	1840
81	164	1837
82	166	1837
83	168	1838
84	170	1840
85	172	1835
86	174	1834
87	176	1825
88	178	1822
89	180	1820
90	182	1819
91	184	1822
92	187	1825
93	189	1823
94	191	1819
95	193	1817
96	195	1816
97	197	1813
98	199	1812
99	201	1811
100	203	1809
101	205	1808
102	207	1806
103	209	1806
104	211	1803
105	213	1802
106	216	1807
107	218	1806
108	221	1808
109	223	1808
110	225	1807
111	227	1804
112	229	1801
113	232	1804
114	234	1805
115	236	1804
116	238	1801
117	240	1800
118	242	1797
119	244	1795
120	247	1796
121	249	1796
122	251	1795
123	253	1793
124	256	1792
125	258	1790
126	260	1788
127	262	1786
128	264	1788
129	267	1787
130	269	1785
131	271	1784
132	273	1782
133	275	1778
134	277	1775
135	279	1773
136	281	1772
137	283	1771
138	285	1768
139	287	1766
140	289	1763
141	291	1760
142	293	1760
143	295	1759
144	297	1757
145	300	1755
146	302	1753
147	304	1753
148	306	1752
149	309	1751
